Name,Organization,Working group,Task force
Sara Ball,UKRI,WG3,
Bozana Bokan,PKP,WG3,Expanding funding metadata practices across regions
Adam Buttrick,California Digital Library,WG3,"Expanding funding metadata practices across regions (task force lead),  Entity-relationship model (task force lead)"
Rodrigo Costas,"CWTS, Leiden University",WG3,Expanding funding metadata practices across regions
Francis P. Crawley,CoARA-ERIP,WG3,
Harry Dimitropoulos,OpenAIRE,WG3,"Funding information in publication metadata, Resources to support funders, Entity-relationship model"
Linda Fick,Academy of Science of South Africa (ASSAf),WG3,Expanding funding metadata practices across regions
Emily Ford,Open Research Funders Group (ORFG),WG3,Resources to support funders
Sebastian Herwig,University of Münster,WG3,"Resources to support funders, Entity-relationship model"
Kora Korzec,Crossref,WG3,"Funding information in publication metadata, Entity-relationship model"
Maria Levchenko,DataCite,WG3,Expanding funding metadata practices across regions
Mike Nason,University of New Brunswick / PKP,WG3,Expanding funding metadata practices across regions
Diego Restrepo,Universidad de Antioquia,WG3,
Katharina Rieck,Austrian Science Fund (FWF),WG3,Resources to support funders (task force lead)
Kathryn Smith,Jisc,WG3,Resources to support funders
