Name,Organization,Working group,Task force
Josimara Dias Brumatti,Universidade Federal Fluminense,WG2,
Adam Buttrick,California Digital Library,WG2,ML pipelines to detect data and software mentions from full text
Francis P. Crawley,CoARA-ERIP,WG2,
Amir Djalali,University of Bologna,WG2,Metadata curation in institutional repositories
Irene Frascari,University of Bologna,WG2,Metadata curation in institutional repositories
Melissa Harrison,EMBL-EBI,WG2,ML pipelines to detect data and software mentions from full text
Linna Lu,TIB - Leibniz Information Centre for Science and Technology and University Library,WG2,Metadata curation in institutional repositories
Lautaro Matas,LA Referencia,WG2,Metadata curation in institutional repositories
Jerneja Grašič,University of Maribot,WG2,Metadata curation in institutional repositories (task force lead)
Martyn Rittman,Crossref,WG2,
